,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure,n
133,44,1,5031919263987885479750129028483163785,0.1000334038525776,8981,0.01,False,True,False,0.1,0.1
134,44,2,149551943578533560532481770024021261918,0.1000222692350517,8981,0.01,False,True,False,0.1,0.1
135,45,0,197542499361550556503016566231831559425,0.0999237887860642,9185,0.01,False,True,False,0.1,0.1
136,45,1,311294324982067068162597357625124691988,0.0999782253674469,9185,0.01,False,True,False,0.1,0.1
137,45,2,53165725262859168634967505564430727931,0.0999782253674469,9185,0.01,False,True,False,0.1,0.1
138,46,0,29147659798817470370413924214961257431,0.0999041431462349,9389,0.01,False,True,False,0.1,0.1
139,46,1,17270702601713186934779779751803606140,0.0999360954308233,9389,0.01,False,True,False,0.1,0.1
140,46,2,20239264342162036863343065138390053015,0.099882841623176,9389,0.01,False,True,False,0.1,0.1
141,47,0,245017324307601768114082381316206458956,0.0998749087876576,9593,0.01,False,True,False,0.1,0.1
142,47,1,256614452429281720791011019330015882098,0.0999895757323048,9593,0.01,False,True,False,0.1,0.1
